ManufacturerName,Distribution Name,SKU Code,SKU Manufacturer Code,SKU Description,Units In Carton,AWS in Units,AWS Adjusted,MSL in Units,Available Total Units,Total buying Amount,Live Cartons,Live Units,Live Total Units,Live Total buying Amount,SKUDescription,AWSQty,BusinessUnitName,LTDS_Amount,BrandName,Sale,Ctn,SCD,LastOrderDateSKU,LastOrderDateManu,OOS,SKU Category,totalsku,lastpurday,type,OdrDat,OdrQty,OdrValue,AWSActiveAmt,AWSActive,AWSAtvPcs,TopSKU,AllowSec,AllowPri,MasterSKUDescription,MTD,MasterSKUCode,tags,Shown in App,TGT,TGTskulevel,MRP,top15,SubCategoryName,desc,SubCatNew
Mondelez International,Jugnu Fulfillment Centre - Islamabad,SKU10796,7622201823450,Cadbury Dairy Milk 45g 1x24 (Rs. 100),12,0,0,0,0,0,0,0,0,0,Cadbury Dairy Milk 45g 1x24 (Rs. 100),0,Confectionary,1,Cadbury Dairy Milk,0,0,0,137,34,122,Confectionary,1,137,,,,,164431,6,75,Core,,,Cadbury Dairy Milk 56g 1x24,,MSKU03819,,No,0,,SKU10796 MRP-[2421],Top15-SubCat,Chocolates,Cadbury Dairy Milk 45g 1x24 (Rs. 100),OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06587,1330598,ENCHANTEUR 100ML GORGEOUS LOTION,48,17,7,0,0,0,0,0,0,0,ENCHANTEUR 100ML GORGEOUS LOTION,0,Home & Personal Care,1,Enchanteur,0,0,0,224,223,18,Personal Care,1,224,Alpha,,,,3199,0,12,,,No,ENCHANTEUR 100ML GORGEOUS LOTION,1868,MSKU05736,,No,0,0,SKU06587 MRP-[370],,Creams/Lotions,ENCHANTEUR 100ML GORGEOUS LOTION,OOS SKU
Molfix,Jugnu Fulfillment Centre - Islamabad,SKU04809,5043953,Papia 2 Ply Facial Tissue 550s,18,0,0,0,0,0,0,0,0,0,Papia 2 Ply Facial Tissue 550s,0,Home & Personal Care,1,Papia,0,0,0,223,129,173,Personal Care,1,223,Alpha,,,,27613,5,82,,,,PAPIA 2PLY 550  PE FACIAL TISSUE 550*18,,MSKU04149,ST001-Core,No,0,,SKU04809 MRP-[445],,Tissues/Masks,Papia 2 Ply Facial Tissue 550s,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU14238,4433,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),48,0,14,0,48,16161.46,1,0,48,16161.46,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,1,113130,46,32,,Baby Care,1,46,Alpha,,,,6945,0,21,,,No,Baby Bed/Sleep time Powder 200gm,,MSKU04571,,Yes,0,0,SKU14238 MRP-[450],,"Baby Powders,Lotions,Creams",Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),Johnsons Baby Powder and Lotions
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU15013,MSKU10492,Sufi Classic Soap Pink 130 gm,48,44,301,0,12,1036.49,0,0,0,0,Sufi Classic Soap Pink 130 gm,0,Home & Personal Care,1,Sufi Soap,1036.49,0,0,,,,Personal Care,1,,Alpha,,,,,,,,,,Sufi Classic Soap Pink 130 gm,,MSKU10492,,No,0,,SKU15013 MRP-[100],,Soaps/Facewash,Sufi Classic Soap Pink 130 gm,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05247,4426,Johnsons Baby Powder Classic 200 gm,48,0,21,0,0,0,0,0,0,0,Johnsons Baby Powder Classic 200 gm,0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,0,0,119,32,75,Baby Care,1,119,Alpha,,,,14071,1,40,,No,,Baby Powder Classic200gm,,MSKU04578,ST001-Core,No,0,0,SKU05247 MRP-[450],Top15-SubCat,"Baby Powders,Lotions,Creams",Johnsons Baby Powder Classic 200 gm,OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06605,1330089,VASELINE 100ML UV Extra Brightening,36,0,0,0,0,0,0,0,0,0,VASELINE 100ML UV Extra Brightening,0,Home & Personal Care,1,Vaseline Petroleum Jelly.,0,0,0,224,223,215,Personal Care,1,224,Alpha,,,,8552,1,36,,,,VASELINE 100ML UV LIGHTENING HEALTHY WHI,,MSKU05765,,No,0,,SKU06605 MRP-[325],,Creams/Lotions,VASELINE 100ML UV Extra Brightening,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05276,4655,Listerine Mouthwash Advance Tarter Control 250 ml,12,0,0,0,0,0,0,0,0,0,Listerine Mouthwash Advance Tarter Control 250 ml,0,Home & Personal Care,1,Listerine,0,0,0,245,32,180,Personal Care,1,245,Alpha,,,,6502,2,20,,,,LIST M/W ATC 250 AR/EN,,MSKU04607,,No,0,,SKU05276 MRP-[479],,Toothpaste/Brush,Listerine Mouthwash Advance Tarter Control 250 ml,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05280,4646,Listerine Teeth and Gum 250 ml,12,6,14,0,0,0,0,0,0,0,Listerine Teeth and Gum 250 ml,0,Home & Personal Care,1,Listerine,0,0,0,84,32,33,Personal Care,1,84,Alpha,,,,6113,1,14,,,No,LIST TEETH &GUM 250ML,,MSKU04611,,No,0,0,SKU05280 MRP-[479],,Toothpaste/Brush,Listerine Teeth and Gum 250 ml,OOS SKU
Grain Trader Commodities,Jugnu Fulfillment Centre - Islamabad,SKU11396,MSKU09022,Rice Kainaat Steam Awami 25Kg,1,0,0,0,0,0,0,0,0,0,Rice Kainaat Steam Awami 25Kg,0,Commodities,1,GT Rice,0,0,0,133,97,101,Chaawal,1,133,Charlie,,,,144064,19,19,,No,No,Rice Kainaat Steam Awami 25Kg,,MSKU09022,,No,0,,SKU11396 MRP-[7813],,Chaawal,Rice Kainaat Steam Awami 25Kg,OOS SKU
Mitchells,Jugnu Fulfillment Centre - Islamabad,SKU08754,3104,Mitchells MIXED FRUIT JAM 450G v2,12,24,42,0,0,0,0,0,0,0,Mitchells MIXED FRUIT JAM 450G v2,0,Packaged Foods,1,Mitchells Preserves,0,0,0,31,31,25,Breakfast,1,31,Charlie,,,,6071,2,23,,,,Mitchells MIXED FRUIT JAM 450G,3951,MSKU07398,,No,0,,SKU08754 MRP-[295],,Jams,Mitchells MIXED FRUIT JAM 450G v2,OOS SKU
Nestle,Jugnu Fulfillment Centre - Islamabad,SKU04042,SKU00575,Nescafe Coffee Chilled Mocha 200 ml Case of 6,24,0,0,0,0,0,0,0,0,0,Nescafe Coffee Chilled Mocha 200 ml Case of 6,0,Tea and Coffee,1,Nescafe,0,0,0,125,6,69,Chai and Coffee,1,125,Bravo,,,,22759,13,312,,,No,NESCAFE Chilled Mocha 24x200ml PK,,MSKU03392,,No,0,,SKU04042 MRP-[80],Top15-SubCat,Coffee,Nescafe Coffee Chilled Mocha 200 ml Case of 6,OOS SKU
Sunridge,Jugnu Fulfillment Centre - Islamabad,SKU13527,MSKU09860,Sunridge Umdah Basmati Rice 1 Kg,20,0,0,0,0,0,0,0,0,0,Sunridge Umdah Basmati Rice 1 Kg,0,Commodities,1,Sunridge Rice,0,0,0,,14,79,Chaawal,1,,Charlie,,,,51142,13,260,,,No,Sunridge Umdah Basmati Rice 1 Kg,,MSKU09860,,No,0,,SKU13527 MRP-[230],,Chaawal,Sunridge Umdah Basmati Rice 1 Kg,OOS SKU
Mitchells,Jugnu Fulfillment Centre - Islamabad,SKU08737,61740,Mitchells Jubilee 30G 24X12,12,24,28,0,0,0,0,0,0,0,Mitchells Jubilee 30G 24X12,0,Confectionary,1,Mitchells Chocolates,0,0,0,31,31,22,Confectionary,1,31,,,,,13671,2,23,,,No,Mitchells Jubilee 30G,9951,MSKU07381,,No,0,,SKU08737 MRP-[720],,Chocolates,Mitchells Jubilee 30G 24X12,OOS SKU
Mondelez International,Jugnu Fulfillment Centre - Islamabad,SKU04476,SKU00324,Cadbury Dairy Milk Chocolate 20g Rs.50,24,0,0,0,0,0,0,0,0,0,Cadbury Dairy Milk Chocolate 20g Rs.50,0,Confectionary,1,Cadbury Dairy Milk,0,0,0,146,34,125,Confectionary,1,146,,,,,118486,5,108,Core,,,Cadbury Dairy Milk 18g 1x24,,MSKU03814,,No,0,,SKU04476 MRP-[1210],,Chocolates,Cadbury Dairy Milk Chocolate 20g Rs.50,OOS SKU
Shujabad Agro Industries (Pvt) Ltd.,Jugnu Fulfillment Centre - Islamabad,SKU13720,MSKU10158,EVA Sunflower Stanup Pouch 1LX5,5,25,49,0,0,0,0,0,0,0,EVA Sunflower Stanup Pouch 1LX5,3,Oil and Ghee,9129,EVA Sunflower  Oil,0,0,0,15,15,10,Oil and Ghee,1,15,Bravo,,,,15215,5,25,,,,EVA Sunflower Stanup Pouch 1X5,15215,MSKU10158,,No,0,,SKU13720 MRP-[676],,Oil,EVA Sunflower Stanup Pouch 1LX5,OOS SKU
Mitchells,Jugnu Fulfillment Centre - Islamabad,SKU08752,3103,Mitchells MANGO JAM 450G v2,12,141,42,0,3,706.58,0,3,3,706.58,Mitchells MANGO JAM 450G v2,1,Packaged Foods,2964,Mitchells Preserves,0,0,2,31,31,,Breakfast,1,31,Charlie,,,,12597,4,51,,,,Mitchells MANGO JAM 450G,34910,MSKU07396,,Yes,0,,SKU08752 MRP-[295],Top15-SubCat,Jams,Mitchells MANGO JAM 450G v2,OOS SKU
Mezan Tea,Jugnu Fulfillment Centre - Islamabad,SKU14268,MSKU10312,Mezan Ultra Rich Hard Pack 85 gm,120,110,35,0,10,1494.23,0,10,10,1494.23,Mezan Ultra Rich Hard Pack 85 gm,0,Tea and Coffee,782,Mezan  Ultra Rich,0,0,13,38,29,,Chai and Coffee,1,38,Bravo,,,,8913,0,57,,,,Mezan Ultra Rich 85 Gram Hard Pack,8444,MSKU10312,,Yes,0,,SKU14268 MRP-[170],,Chai,Mezan Ultra Rich Hard Pack 85 gm,Mezan  Ultra Rich
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06592,1330562,ENCHANTEUR 250ML ELEGANT MUSK LOTION,24,4,7,0,17,9944.35,0,17,17,9944.35,ENCHANTEUR 250ML ELEGANT MUSK LOTION,0,Home & Personal Care,1,Enchanteur,0,0,69611,224,223,,Personal Care,1,224,Alpha,,,,4239,0,7,,,No,ENCHANTEUR 250ML ELEGANT MUSK LOTION,,MSKU05741,,Yes,0,,SKU06592 MRP-[685],,Creams/Lotions,ENCHANTEUR 250ML ELEGANT MUSK LOTION,Enchanteur
Shield Corporation Limited,Jugnu Fulfillment Centre - Islamabad,SKU06195,8964001492160,EvenFlo Feeder 125ml,108,0,0,0,0,0,0,0,0,0,EvenFlo Feeder 125ml,0,Home & Personal Care,1,Shield,0,0,0,336,216,59,Baby Care,1,336,Alpha,,,,5683,0,53,,,,Wide Neck Feeder with Handle 260ML,,MSKU05530,,No,0,,SKU06195 MRP-[151],Top15-SubCat,Baby Accessories,EvenFlo Feeder 125ml,OOS SKU
Kala Kola Hair Color,Jugnu Fulfillment Centre - Islamabad,SKU06411,8964000046722,Kalakola Hair Color 10 Blue Black 100ml,96,26,14,0,37,6058.7,0,37,37,6058.7,Kalakola Hair Color 10 Blue Black 100ml,0,Home & Personal Care,169,Kala Kola Hair Color,0,0,251,223,223,,Personal Care,1,223,Alpha,,,,3335,0,21,,,No,Kalakola Hair Color Blue Black 10 50ml,1615,MSKU05199,,Yes,0,0,SKU06411 MRP-[200],Top15-SubCat,Hair Color,Kalakola Hair Color 10 Blue Black 100ml,Kala Kola Hair Color
Shujabad Agro Industries (Pvt) Ltd.,Jugnu Fulfillment Centre - Islamabad,SKU13723,MSKU10161,EVA VTF Banaspati Pouch 1KgX5,5,10,21,0,65,36144.88,13,0,65,36144.88,EVA VTF Banaspati Pouch 1KgX5,0,Oil and Ghee,1,EVA VTF Banaspati ,0,13,253014,15,15,,Oil and Ghee,1,15,Bravo,,,,2856,1,5,,,,EVA VTF Banaspati Pouch 1X5,2856,MSKU10161,,Yes,0,,SKU13723 MRP-[629],,Ghee,EVA VTF Banaspati Pouch 1KgX5,EVA VTF Banaspati 
Mondelez International,Jugnu Fulfillment Centre - Islamabad,SKU04484,SKU00309,Cadbury Dairy Milk Bubbly 20g 1x24 (Rs. 70),12,35,42,0,0,0,0,0,0,0,Cadbury Dairy Milk Bubbly 20g 1x24 (Rs. 70),0,Confectionary,1,Cadbury Dairy Milk,0,0,0,146,34,49,Confectionary,1,146,,,,,57405,3,38,Core,,,Cadbury Dairy Milk Bubbly 20g 1x24,,MSKU03822,ST001-Core,No,0,,SKU04484 MRP-[1694],,Chocolates,Cadbury Dairy Milk Bubbly 20g 1x24 (Rs. 70),OOS SKU
Mitchells,Jugnu Fulfillment Centre - Islamabad,SKU08745,6115,Mitchells TOMATO KETCHUP SP PFA 250 gm,36,316,84,0,44,3885.17,0,22,22,1942.59,Mitchells TOMATO KETCHUP SP PFA 250 gm,2,Packaged Foods,6113,Mitchells Ketchup & Sauces,1942.58,0,2,31,31,,Ketchups/Sauces/Achaar,1,31,Alpha,,,,12319,4,133,,,,Mitchells TOMATO KETCHUP 250G,22517,MSKU07389,,Yes,0,,SKU08745 MRP-[110],,Ketchups,Mitchells TOMATO KETCHUP SP PFA 250 gm,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05281,4641,Listerine Mouthwash Cool Mint 250ml,12,13,14,0,0,0,0,0,0,0,Listerine Mouthwash Cool Mint 250ml,0,Home & Personal Care,1,Listerine,0,0,0,84,32,28,Personal Care,1,84,Alpha,,,,6270,1,14,,,No,LISTERINE Mouthwash Cool Mint 250ml,,MSKU04612,,No,0,0,SKU05281 MRP-[479],,Toothpaste/Brush,Listerine Mouthwash Cool Mint 250ml,OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06589,1330597,ENCHANTEUR 100ML STUNNING LOTION,48,21,14,0,6,1486.08,0,6,6,1486.08,ENCHANTEUR 100ML STUNNING LOTION,0,Home & Personal Care,1,Enchanteur,0,0,10403,224,223,,Personal Care,1,224,Alpha,,,,5627,0,21,,,No,ENCHANTEUR 100ML STUNNING LOTION,3217,MSKU05738,,Yes,0,0,SKU06589 MRP-[370],,Creams/Lotions,ENCHANTEUR 100ML STUNNING LOTION,Enchanteur
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05253,5092,Johnsons Baby Soap Blossom 100 gm,96,255,49,0,0,0,0,0,0,0,Johnsons Baby Soap Blossom 100 gm,0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,0,0,32,32,13,Baby Care,1,32,Alpha,,,,17820,1,108,,,,Baby Soap Blossom 100gm,17820,MSKU04584,ST001-Core,No,0,0,SKU05253 MRP-[250],Top15-SubCat,"Baby Powders,Lotions,Creams",Johnsons Baby Soap Blossom 100 gm,OOS SKU
Nestle,Jugnu Fulfillment Centre - Islamabad,SKU07560,SKU00100cc,Milo Cereal 500g,12,0,0,0,0,0,0,0,0,0,Milo Cereal 500g,0,Packaged Foods,1,Milo Cereals,0,0,0,473,6,210,Breakfast,1,473,Charlie,,,,10680,2,18,,,,MILO CEREAL 10X500g N1 XK,,MSKU03388,,No,0,,SKU07560 MRP-[944],,Cereals,Milo Cereal 500g,OOS SKU
Shield Corporation Limited,Jugnu Fulfillment Centre - Islamabad,SKU06540,8964001492702,Shield Falcon Toothbrush,288,0,0,0,0,0,0,0,0,0,Shield Falcon Toothbrush,0,Home & Personal Care,1,Shield Toothbrush,0,0,0,404,216,280,Personal Care,1,404,Alpha,,,,2632,0,53,,,,SHIELD FALCON MRP RS 60,,MSKU05710,,No,0,,SKU06540 MRP-[61],,Toothpaste/Brush,Shield Falcon Toothbrush,OOS SKU
Wallet Top Up,Jugnu Fulfillment Centre - Islamabad,SKU09004,Wallet Top Up,Rs. 100 - Wallet Top Up,1,0,0,0,200,20000,200,0,200,20000,Rs. 100 - Wallet Top Up,0,Wallet Top Up,1,Wallet Top Up,0,200,140000,333,333,,Wallet Top Up,1,333,Charlie,,,,,,,,,,Wallet Top Up,,MSKU07545,ST001-Core,Yes,0,,SKU09004 MRP-[100],,Wallet Top Up,Rs. 100 - Wallet Top Up,Wallet Top Up
Punjab Aatta,Jugnu Fulfillment Centre - Islamabad,SKU07904,SKU07904,Punjab Aatta 15kg,1,695,483,0,0,0,0,0,0,0,Punjab Aatta 15kg,0,Commodities,1,Punjab Aatta,0,0,0,85,85,35,Atta,1,85,Charlie,,,,1342890,612,612,Core,,,Punjab Aatta 15 KG,,MSKU05726,ST001-Core,No,0,,SKU07904 MRP-[2314],Top15-SubCat,Atta,Punjab Aatta 15kg,OOS SKU
Reckitt Health,Jugnu Fulfillment Centre - Islamabad,SKU15073,SKU15073,Reckitt Tokri,1,0,0,0,600,799809.96,599,0,599,798476.94,Reckitt Tokri,0,Home & Personal Care,1,Reckitt Tokri,1333.02,599,5589344,,28,,Home Care,1,,Alpha,,,,,,,,,,Reckitt Tokri,,MSKU10526,,Yes,0,,SKU15073 MRP-[1584],,Bundle,Reckitt Tokri,Reckitt Tokri
Reckitt Health,Jugnu Fulfillment Centre - Islamabad,SKU10806,3065970,Dettol Multi Purpose Cleaner Oud 500 ml (MRP 599),24,47,14,0,73,36201.68,3,1,73,36201.68,Dettol Multi Purpose Cleaner Oud 500 ml (MRP 599),0,Home & Personal Care,3003,Dettol Cleaners,0,3,84,47,28,,Home Care,1,47,Alpha,,,,15957,1,32,,,No,Dettol Multi Purpose Cleaner Oud 500 ml,15456,MSKU03096,,Yes,0,0,SKU10806 MRP-[599],,Surface Cleaners,Dettol Multi Purpose Cleaner Oud 500 ml (MRP 599),Dettol Cleaners
Rupali Foods (Whistlez),Jugnu Fulfillment Centre - Islamabad,SKU10900,FG000110,Cake Rusk Snack Pack 1X9 Box (Rs. 20),18,342,63,0,0,0,0,0,0,0,Cake Rusk Snack Pack 1X9 Box (Rs. 20),0,Confectionary,1,Cake Rusk,0,0,0,204,195,13,Snacks,1,204,Alpha,,,,9570,14,257,,,,Cake Rusk Snack Pack 1X12 Box (Rs. 20),9570,MSKU08717,ST001-Core,No,0,0,SKU10900 MRP-[180],,Biscuits/ Wafers,Cake Rusk Snack Pack 1X9 Box (Rs. 20),OOS SKU
Shield Corporation Limited,Jugnu Fulfillment Centre - Islamabad,SKU06541,8964001492719,New Righto Blister Toothbrush,288,0,0,0,0,0,0,0,0,0,New Righto Blister Toothbrush,0,Home & Personal Care,1,Shield Toothbrush,0,0,0,274,216,189,Personal Care,1,274,Alpha,,,,3031,0,69,,,,NEW RIGHTO BLISTER,,MSKU05711,,No,0,,SKU06541 MRP-[61],,Toothpaste/Brush,New Righto Blister Toothbrush,OOS SKU
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU14994,MSKU10473,Sufi Soap Special Quality,10,53,231,0,23,9876.25,0,0,0,0,Special Quality,0,Home & Personal Care,1,Sufi Detergent,9876.25,0,0,,,,Home Care,1,,Alpha,,,,,,,,,,Special Quality,,MSKU10473,,No,0,,SKU14994 MRP-[504],,Detergents,Sufi Soap Special Quality,OOS SKU
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU14996,MSKU10475,Sufi Soap Vermicelli 1000 gm,10,0,42,0,47,20941.14,3,2,32,14257.8,Vermicelli 1000 gm,0,Home & Personal Care,1,Sufi Detergent,6683.34,3,99805,,,,Home Care,1,,Alpha,,,,,,,,,,Vermicelli 1000 gm,,MSKU10475,,Yes,0,,SKU14996 MRP-[515],,Detergents,Sufi Soap Vermicelli 1000 gm,Sufi Detergent
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU15012,MSKU10491,Sufi Classic Soap White 130 gm,48,67,315,0,8,690.99,0,0,0,0,Sufi Classic Soap White 130 gm,0,Home & Personal Care,1,Sufi Soap,690.99,0,0,,,,Personal Care,1,,Alpha,,,,,,,,,,Sufi Classic Soap White 130 gm,,MSKU10491,,No,0,,SKU15012 MRP-[100],,Soaps/Facewash,Sufi Classic Soap White 130 gm,OOS SKU
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU15009,MSKU10488,Sufi Classic Soap White 105 gm,72,128,686,0,10,619.98,0,0,0,0,Sufi Classic Soap White 105 gm,0,Home & Personal Care,1,Sufi Soap,619.98,0,0,,,,Personal Care,1,,Alpha,,,,,,,,,,Sufi Classic Soap White 105 gm,,MSKU10488,,No,0,,SKU15009 MRP-[70],,Soaps/Facewash,Sufi Classic Soap White 105 gm,OOS SKU
Sunridge,Jugnu Fulfillment Centre - Islamabad,SKU13526,MSKU09859,Sunridge Sella Gold Basmati Rice 5 Kg,2,0,21,0,2,3524.4,1,0,2,3524.4,Sunridge Sella Gold Basmati Rice 5 Kg,0,Commodities,1,Sunridge Rice,0,1,24671,,14,,Chaawal,1,,Charlie,,,,7374,2,4,,,No,Sunridge Sella Gold Basmati Rice 5 Kg,,MSKU09859,,Yes,0,,SKU13526 MRP-[1995],,Chaawal,Sunridge Sella Gold Basmati Rice 5 Kg,Sunridge Rice
Sunridge,Jugnu Fulfillment Centre - Islamabad,SKU13525,MSKU09858,Sunridge Sella Gold Basmati Rice 1 Kg,20,23,14,0,18,6408,0,17,17,6052,Sunridge Sella Gold Basmati Rice 1 Kg,0,Commodities,1,Sunridge Rice,356,0,42364,,14,,Chaawal,1,,Charlie,,,,11224,2,30,,,No,Sunridge Sella Gold Basmati Rice 1 Kg,2623,MSKU09858,,Yes,0,,SKU13525 MRP-[400],,Chaawal,Sunridge Sella Gold Basmati Rice 1 Kg,Sunridge Rice
Nestle,Jugnu Fulfillment Centre - Islamabad,SKU03925,SKU00378,Nescafe Coffee Gold Blend Jar Sgnt 100 gm,6,0,0,0,0,0,0,0,0,0,Nescafe Coffee Gold Blend Jar Sgnt 100 gm,0,Tea and Coffee,1,Nescafe,0,0,0,290,6,372,Chai and Coffee,1,290,Bravo,,,,23295,4,25,,,,Nescafe Gold Blend Jar Sgnt 100g XX,,MSKU03316,,No,0,,SKU03925 MRP-[1261],,Coffee,Nescafe Coffee Gold Blend Jar Sgnt 100 gm,OOS SKU
Grain Trader Commodities,Jugnu Fulfillment Centre - Islamabad,SKU11399,MSKU09025,Rice Sella Kainat Steam 1121 25Kg,1,0,0,0,0,0,0,0,0,0,Rice Sella Kainat Steam 1121 25Kg,0,Commodities,1,GT Rice,0,0,0,197,97,104,Chaawal,1,197,Charlie,,,,86573,10,10,,No,No,Rice Sella Kainat Steam 1121 25Kg,,MSKU09025,,No,0,,SKU11399 MRP-[9115],,Chaawal,Rice Sella Kainat Steam 1121 25Kg,OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06595,1330166,ENCHANTEUR 250ML ROMANTIC LOTION,24,2,7,0,19,11114.27,0,19,19,11114.27,ENCHANTEUR 250ML ROMANTIC LOTION,0,Home & Personal Care,1,Enchanteur,0,0,77800,224,223,,Personal Care,1,224,Alpha,,,,3571,0,6,,,No,ENCHANTEUR 250ML ROMANTIC LOTION,,MSKU05744,,Yes,0,,SKU06595 MRP-[685],,Creams/Lotions,ENCHANTEUR 250ML ROMANTIC LOTION,Enchanteur
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06597,1330557,ENCHANTEUR 250ML STUNNING LOTION,24,3,14,0,20,11723.22,0,20,20,11723.22,ENCHANTEUR 250ML STUNNING LOTION,0,Home & Personal Care,1,Enchanteur,0,0,82063,224,223,,Personal Care,1,224,Alpha,,,,3621,0,6,,,No,ENCHANTEUR 250ML STUNNING LOTION,,MSKU05746,ST001-Core,Yes,0,,SKU06597 MRP-[850],,Creams/Lotions,ENCHANTEUR 250ML STUNNING LOTION,Enchanteur
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05279,4638,Listerine Miswak Mouthwash 250 ml,12,7,14,0,0,0,0,0,0,0,Listerine Miswak Mouthwash 250 ml,0,Home & Personal Care,1,Listerine,0,0,0,84,32,29,Personal Care,1,84,Alpha,,,,8170,2,18,,,,LIST MISWAK M/W250ML,,MSKU04610,,No,0,0,SKU05279 MRP-[650],,Toothpaste/Brush,Listerine Miswak Mouthwash 250 ml,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU13630,SKU13630,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),48,16,14,0,28,8961.83,0,26,26,8321.7,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,640.13,0,58252,84,32,,Baby Care,1,84,Alpha,,,,6945,0,21,,,No,Baby Bed/Sleep time Powder 200gm,2619,MSKU04571,,Yes,0,0,SKU13630 MRP-[450],,"Baby Powders,Lotions,Creams",Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),Johnsons Baby Powder and Lotions
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05258,5407,Johnsons Baby Bedtime Powder 100 gm,48,27,21,0,0,0,0,0,0,0,Johnsons Baby Bedtime Powder 100 gm,0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,0,0,84,32,38,Baby Care,1,84,Alpha,,,,5741,1,28,,,,JB BEDTIME POWD 100GM,,MSKU04589,ST001-Core,No,0,,SKU05258 MRP-[350],Top15-SubCat,"Baby Powders,Lotions,Creams",Johnsons Baby Bedtime Powder 100 gm,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU14239,4428,Johnsons Baby Powder Blossom 100 gm,48,48,28,0,96,20127.74,1,44,92,19289.09,Johnsons Baby Powder Blossom 100 gm,0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,838.65,1,135024,32,32,,Baby Care,1,32,Alpha,,,,9109,1,40,,,No,JB Powder Blossom 100gm,6237,MSKU04597,ST001-Core,Yes,0,0,SKU14239 MRP-[270],Top15-SubCat,"Baby Powders,Lotions,Creams",Johnsons Baby Powder Blossom 100 gm,Johnsons Baby Powder and Lotions
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05239,4505,Essential Foaming Facial Wash 50ML,48,0,0,0,0,0,0,0,0,0,Essential Foaming Facial Wash 50ML,0,Home & Personal Care,1,Clean and Clear,0,0,0,119,32,58,Personal Care,1,119,Alpha,,,,13984,1,44,,,,Essential FF Wash 50gm TH,,MSKU04570,,No,0,,SKU05239 MRP-[475],,Creams/Lotions,Essential Foaming Facial Wash 50ML,OOS SKU
Mezan Tea,Jugnu Fulfillment Centre - Islamabad,SKU14271,MSKU10315,Mezan Hardum Danedar Hard Pack 30 gm,120,882,259,0,60,2652.4,0,9,9,397.86,Mezan Hardum Danedar Hard Pack 30 gm,1,Tea and Coffee,7194,Mezan Hardum Danedar,2254.54,0,0,29,29,,Chai and Coffee,1,29,Bravo,,,,13150,2,287,,,,Mezan Hardum Danedar 30 Gram Hard Pack,34258,MSKU10315,,Yes,0,,SKU14271 MRP-[50],,Chai,Mezan Hardum Danedar Hard Pack 30 gm,OOS SKU
Mitchells,Jugnu Fulfillment Centre - Islamabad,SKU08747,6245,Mitchells TOMATO KETCHUP SP 800 gm,12,60,35,0,0,0,0,0,0,0,Mitchells TOMATO KETCHUP SP 800 gm,0,Packaged Foods,1,Mitchells Ketchup & Sauces,0,0,0,31,31,12,Ketchups/Sauces/Achaar,1,31,Alpha,,,,16670,5,58,,,,Mitchells TOMATO KETCHUP 950G,16670,MSKU07391,,No,0,,SKU08747 MRP-[335],,Ketchups,Mitchells TOMATO KETCHUP SP 800 gm,OOS SKU
